Year,WeekNumber,PSI North Weekly,PSI South Weekly,PSI East Weekly,PSI West Weekly,PSI Central Weekly
2014,1,34.16666667,29.25,30.6875,29.38541667,28.82291667
2014,2,27.36904762,21.94642857,24.25,21.28571429,21.05952381
2014,3,34.21428571,30.4047619,28.4702381,28.92261905,28.1547619
2014,4,37.98214286,36.85119048,36.4702381,36.96428571,34.01785714
2014,5,33.3452381,30.92261905,29.05357143,30.08333333,28.56547619
2014,6,30.35714286,27.25595238,25.06547619,28.63095238,26.29761905
2014,7,35.67857143,32.20238095,29.7202381,32.67857143,30.85119048
2014,8,36.68452381,32.73214286,27.92857143,30.98214286,31.77380952
2014,9,36.625,33.60119048,33.00595238,29.6547619,32.57738095
2014,10,41.24404762,36,35.24404762,35.36904762,34.6547619
2014,11,58.27380952,51.95833333,53.5297619,42.55357143,48.75
2014,12,34.98809524,28.05952381,28.52380952,26.25,26.5952381
2014,13,40.19642857,34.03571429,32.73214286,30.25595238,32.30357143
2014,14,49.875,47.91071429,47.95833333,51.69642857,48.375
2014,15,57.44642857,53.58333333,56.50595238,53.95833333,54.75
2014,16,65.51190476,60.53571429,61.04761905,62.26785714,62.2202381
2014,17,61.86904762,58.76190476,60.67261905,59.67857143,60.08333333
2014,18,61.24404762,55.91071429,56.3452381,60.24404762,59.38095238
2014,19,56.66666667,50.58928571,51.43452381,56.98214286,53.47619048
2014,20,57.75595238,52.94047619,51.64285714,55.29761905,55.33928571
2014,21,53.69047619,47.67857143,46.9047619,50.98214286,50.14285714
2014,22,54.91071429,47.31547619,47.47619048,51.75,48.91666667
2014,23,49.99404762,44.61904762,42.95238095,49.0952381,45.94047619
2014,24,50.3452381,47.16666667,46.42857143,53.86309524,47.21428571
2014,25,47.79166667,47.98214286,45.50595238,52.24404762,48.17261905
2014,26,55.45238095,54.08928571,53.67857143,57.23809524,53.94642857
2014,27,57.03571429,53.82142857,52.375,57.89880952,54.89880952
2014,28,53.61904762,52.125,50.19047619,54.33928571,50.89880952
2014,29,56.11309524,53.27380952,52.54761905,54.05952381,52.08928571
2014,30,53.42261905,51.88095238,51.64285714,56.2797619,52.01785714
2014,31,51.51785714,49.74404762,49.16071429,53.06547619,50.63690476
2014,32,46.13690476,45.82142857,44.73809524,50.45238095,45.67857143
2014,33,47.01785714,43.69047619,39.28571429,48.08333333,44.08928571
2014,34,57.9702381,53.67857143,53.32738095,60.125,54.875
2014,35,57.46428571,55.29166667,53.98809524,56.58333333,55.32738095
2014,36,62.35714286,60.24404762,59.55357143,61.82142857,60.17261905
2014,37,62.19047619,60.24404762,59.19047619,61.7797619,60.83928571
2014,38,74.60714286,76.32738095,74.98214286,80.96428571,73.41071429
2014,39,66.16071429,63.19642857,64.08333333,67.5297619,63.67261905
2014,40,71.55952381,71.3452381,69.94047619,77.22619048,69.32738095
2014,41,69.89285714,74.03571429,72.82142857,76.17857143,70.06547619
2014,42,69.13690476,73.66071429,70.49404762,77.73809524,69.68452381
2014,43,74.19642857,76.22619048,75.22619048,81.21428571,72.5952381
2014,44,65.38690476,65.44047619,65.79761905,68.2202381,63.52380952
2014,45,70.88095238,74.08928571,71.92857143,74.26190476,69.98214286
2014,46,53.01785714,53.73214286,53.22619048,51.98809524,51
2014,47,44.01785714,42.67261905,46.76785714,43.26785714,41.06547619
2014,48,46.14803313,47.09834369,49.36076605,44.50724638,44.23240166
2014,49,52.08773292,51.98576605,54.73809524,49.41925466,52.97826087
2014,50,45.84057971,47.47877847,50.5621118,47.5623706,41.38509317
2014,51,38.10119048,38.05357143,43.05952381,36.85714286,33.26190476
2014,52,37.69642857,39.36309524,43.70238095,34.26785714,34.21428571
2014,53,30.8125,30.5625,33.36458333,28.96875,28.13541667
2015,1,55.125,54.66666667,58.90277778,56.33333333,51.44444444
2015,2,37.53571429,38.45833333,43.80357143,36.11309524,31.98214286
2015,3,42.39285714,41.44642857,49.93452381,43.36309524,34.24404762
2015,4,53.95238095,55.94642857,58.28571429,57.66666667,52.00595238
2015,5,49.63095238,54.45238095,55.375,57.44642857,50.82738095
2015,6,42.5952381,45.01785714,51.58928571,47.28571429,35.53571429
2015,7,55.91071429,56.70238095,64.08333333,58.39285714,54.50595238
2015,8,48.08928571,51.63690476,54.26190476,49.76190476,48.49404762
2015,9,43.05357143,48.48809524,52.23214286,51.35119048,47.57142857
2015,10,50.73214286,51.30357143,54.91666667,55.98809524,49.64880952
2015,11,45.20238095,45.53571429,48.95238095,49.21428571,41.97619048
2015,12,58.36904762,56.23809524,57.85119048,64.1547619,55.92261905
2015,13,57.41666667,57.79166667,57.6547619,61.04166667,57.26785714
2015,14,55.64880952,56.45238095,55.94642857,53.18452381,52.26190476
2015,15,49.05357143,51.04166667,45.89285714,55.70238095,47.70833333
2015,16,52.39285714,49.28571429,48.20833333,55.17857143,47.36309524
2015,17,60.48809524,59.63690476,60.16666667,57.55952381,59.48809524
2015,18,53.29761905,53.00595238,55.0297619,51.83928571,52.38095238
2015,19,56.29761905,50.55952381,49.98809524,54.13095238,52.28571429
2015,20,51.51785714,46.50595238,43.32142857,52.88095238,42.49404762
2015,21,53.69047619,44.85119048,47.42261905,54.48214286,46.73809524
2015,22,50.36904762,45.64285714,42.82738095,50.73809524,42.83928571
2015,23,51.92857143,47.92261905,47.33928571,55.11309524,46.49404762
2015,24,51.79761905,45.11904762,40,45.625,41.58928571
2015,25,52.24404762,50.21428571,49.05357143,52.48809524,47.70238095
2015,26,52.5952381,50.51190476,52.76785714,57.7202381,47.69642857
2015,27,57.32142857,56.38690476,57.13095238,61.67857143,53.02380952
2015,28,64.11904762,63.92857143,63.11309524,68.08928571,62.18452381
2015,29,50.88690476,49.96428571,49.2797619,54.24404762,43.42261905
2015,30,52.13690476,49.2202381,48.625,56,42.05357143
2015,31,50.29761905,51.88690476,47.10119048,54.98809524,43.2202381
2015,32,54.375,50.36309524,50.03571429,55.05357143,48.875
2015,33,57.89880952,56.30357143,56.08333333,60.16071429,53.74404762
2015,34,65.2797619,64.51190476,61.85119048,68.39880952,60.88095238
2015,35,74.16071429,73.67261905,72.05952381,76.77380952,69.61904762
2015,36,73.11309524,74.20238095,73.60714286,75.0297619,68.98809524
2015,37,102,102.5595238,97.30952381,104.0178571,93.51190476
2015,38,113.6547619,118.6964286,110.0357143,124.672619,104.7916667
2015,39,131.5416667,138.7916667,127.6369048,141.9702381,119.9404762
2015,40,143.077381,153.2440476,143.9940476,157.4166667,127.1547619
2015,41,107.3035714,116.2321429,110.1845238,112.8809524,97.83333333
2015,42,98.03571429,103.8095238,99.08928571,104.1785714,91.2797619
2015,43,117.2142857,127.922619,117.1607143,136.625,109.1607143
2015,44,98.32738095,108.5416667,103.3154762,108.25,92.01785714
2015,45,64.875,66.63690476,70,63.73214286,61.72619048
2015,46,66.82142857,70.92857143,67.2202381,70.58333333,66.71428571
2015,47,45.21428571,43.23214286,49.01190476,46.88690476,47.70238095
2015,48,50.54761905,45.2202381,57.53571429,47.14880952,52.81547619
2015,49,47.60119048,41.05952381,50.50595238,49.0952381,47.70238095
2015,50,45.20238095,40.60119048,47.72619048,42.20833333,43.77380952
2015,51,48.79166667,47.19047619,50.83928571,45.28571429,48.58928571
2015,52,53.41666667,53.97619048,57.54761905,54.68452381,53.32738095
2015,53,44,39.925,45.725,38.25,37.86666667
2016,1,38.95833333,35.625,44.85416667,29.125,35.20833333
2016,2,37.01785714,37.375,39.83928571,37.875,41.33333333
2016,3,41.7797619,43.64880952,41.29166667,45.64880952,46.27380952
2016,4,47.55952381,50.38690476,50.29761905,49.11904762,49.05952381
2016,5,39.04166667,45.67261905,49.3452381,42.22619048,45.20833333
2016,6,38.25,39.76785714,44.2202381,38.88095238,41.26190476
2016,7,43.60714286,47.48809524,48.66071429,43.67857143,47.80357143
2016,8,45.88095238,47.22619048,48.71428571,41.54166667,46.54166667
2016,9,46.0297619,49.93452381,54.13690476,47.67261905,48.75
2016,10,45.82738095,51.0297619,51.78571429,47.74404762,48.4047619
2016,11,47.64285714,51.71428571,47.80952381,43.13095238,48.73809524
2016,12,52.17261905,56.66666667,54.08333333,54.43452381,55.58928571
2016,13,58.3452381,62.5952381,59.39880952,62.08333333,60.98809524
2016,14,66.48809524,68.83928571,62.76190476,63.58333333,68.44642857
2016,15,58.54166667,57.96428571,55.33928571,61.10714286,56.9702381
2016,16,62.01190476,64.85714286,60.39285714,60.14285714,62.21428571
2016,17,59.73214286,58.95238095,57.41071429,59.94642857,57.50595238
2016,18,64.36309524,57.94642857,55.07142857,62.5,59.4047619
2016,19,59.04761905,54.70833333,50.95238095,56.74404762,54.27380952
2016,20,57.70833333,53.94642857,50.69642857,53.88690476,51.86309524
2016,21,59.08333333,55.27380952,53.17261905,52.2797619,56.04761905
2016,22,44.44642857,43.80952381,41.79166667,41.53571429,39.35119048
2016,23,58.22619048,54.56547619,54.11904762,52.56547619,54.16071429
2016,24,61.30357143,58.20238095,55.17261905,57.75,57.14880952
2016,25,55.3452381,43.4702381,41.53571429,40.63095238,41.3452381
2016,26,54.82738095,52.99404762,50.19047619,50.36309524,50.60119048
2016,27,55.44047619,50.4047619,45.94047619,48.23214286,47.92857143
2016,28,55.76785714,50.03571429,45.375,51.28571429,47.08928571
2016,29,57.66666667,48.0952381,43.01785714,51.16071429,45.38690476
2016,30,55.44642857,54.00595238,52.4702381,43.96428571,50.94642857
2016,31,56.19047619,48.33333333,47.43452381,51.60714286,49.02380952
2016,32,56.26785714,52.94047619,49.27380952,52.60119048,52.4702381
2016,33,60.54761905,57.58333333,55.05952381,57.20238095,56.83333333
2016,34,54.03571429,48.26785714,46.26190476,48.14285714,44.57142857
2016,35,69.46428571,57.76785714,52.02380952,62.47619048,57.23809524
2016,36,85.04166667,62.875,62,69.29166667,65.73611111
